"filename", "language", "XML", "Java", "Batch", "Markdown", "Java Properties", "YAML", "comment", "blank", "total"
"c:\Users\mcsan\Desktop\szoft-projlab-2025\.github\workflows\maven.yml", "YAML", 0, 0, 0, 0, 0, 19, 6, 7, 32
"c:\Users\mcsan\Desktop\szoft-projlab-2025\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 3, 0, 16, 1, 20
"c:\Users\mcsan\Desktop\szoft-projlab-2025\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\mcsan\Desktop\szoft-projlab-2025\mvnw.cmd", "Batch", 0, 0, 108, 0, 0, 0, 26, 16, 150
"c:\Users\mcsan\Desktop\szoft-projlab-2025\pom.xml", "XML", 52, 0, 0, 0, 0, 0, 2, 8, 62
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\Main.java", "Java", 0, 43, 0, 0, 0, 0, 0, 8, 51
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\core\GameController.java", "Java", 0, 34, 0, 0, 0, 0, 25, 10, 69
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\core\GamePanel.java", "Java", 0, 227, 0, 0, 0, 0, 15, 42, 284
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\core\Ticker.java", "Java", 0, 35, 0, 0, 0, 0, 31, 10, 76
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\fungi\Hyphae.java", "Java", 0, 190, 0, 0, 0, 0, 99, 55, 344
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\fungi\Mycelium.java", "Java", 0, 118, 0, 0, 0, 0, 59, 36, 213
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\fungi\Mycologist.java", "Java", 0, 254, 0, 0, 0, 0, 79, 66, 399
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\fungi\spore\CloneSpore.java", "Java", 0, 15, 0, 0, 0, 0, 0, 7, 22
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\fungi\spore\DefensiveSpore.java", "Java", 0, 20, 0, 0, 0, 0, 19, 7, 46
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\fungi\spore\SlowingSpore.java", "Java", 0, 18, 0, 0, 0, 0, 19, 8, 45
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\fungi\spore\SpeedBoostSpore.java", "Java", 0, 18, 0, 0, 0, 0, 19, 7, 44
"c:\Users\mcsan\Desktop\szoft-projlab-2025\src\main\java\hu\bme\fungi\spore\Spore.java", "Java", 0, 19, 0, 0, 0, 0, 24, 9, 52
